"","id","test","t_closest","closest_dist","stdClosest","twinCloseMin","avgRank","clan","disturbance","sex","tar_rank_level","birthdate","surv","longevity","status","avgRank_level","rank_level"
"1","alfe","target",116,2,0.703125,135,-0.0657263887551748,"talek","high","f","mid",2009-01-05,0,6.90684931506849,"r","mid","mid"
"2","alfe","lion",53.2,53.2,0.456324786324786,53.2,-0.0657263887551748,"talek","high","f","mid",2009-01-05,0,6.90684931506849,"r","mid","mid"
"3","ams","target",363,130,0,0,NA,"north","low","m","low",NA,1,NA,"i",NA,"immigrant"
"4","ams","lion",44,44,0.398809523809524,44,NA,"north","low","m","low",NA,1,NA,"i",NA,"immigrant"
"5","ana","box",0.35,0,0,0.35,0.578947368421053,"north","low","f",NA,2012-12-02,0,4.57808219178082,"r","high","high"
"6","ana","novel",NA,10,10,NA,0.578947368421053,"north","low","f",NA,2012-12-02,0,4.57808219178082,"r","high","high"
"7","ana","lion",29.75,29.75,0.290178571428571,29.75,0.578947368421053,"north","low","f",NA,2012-12-02,0,4.57808219178082,"r","high","high"
"8","angi","target",229,2,0.804020100502513,320,0.183731387291759,"north","low","f","mid",NA,0,NA,"r","mid","mid"
"9","angi","lion",40.5714285714286,40.5714285714286,0.218307322929172,40.5714285714286,0.183731387291759,"north","low","f","mid",NA,0,NA,"r","mid","mid"
"10","aqua","target",10,40,0,0,0.470012283777611,"talek","high","f","high",2006-04-17,0,9.56164383561644,"r","high","high"
"11","aqua","lion",51.4166666666667,51.4166666666667,0.390818182066584,51.4166666666667,0.470012283777611,"talek","high","f","high",2006-04-17,0,9.56164383561644,"r","high","high"
"12","art","target",104,0.5,0.754237288135593,178,0.371073832348173,"talek","high","f","mid",2000-03-24,1,13.7890410958904,"r","high","high"
"13","art","lion",46.2173913043478,46.2173913043478,0.319859550853123,46.2173913043478,0.371073832348173,"talek","high","f","mid",2000-03-24,1,13.7890410958904,"r","high","high"
"14","atac","target",328,80,0,0,0.778965159440754,"talek","high","f","high",2009-02-15,0,6.86575342465753,"r","high","high"
"15","atac","lion",21.5263157894737,21.5263157894737,0.224368519711096,21.5263157894737,0.778965159440754,"talek","high","f","high",2009-02-15,0,6.86575342465753,"r","high","high"
"16","bab","target",123,6,0.63302752293578,276,-0.580028482521731,"talek","high","f","low",2004-10-30,0,11.1205479452055,"r","low","low"
"17","bab","lion",156.5,156.5,0.84375,156.5,-0.580028482521731,"talek","high","f","low",2004-10-30,0,11.1205479452055,"r","low","low"
"18","baca","target",798,4,0.418518518518519,565,NA,"hz","low","m","low",2013-01-12,1,2.81369863013699,"r",NA,"low"
"19","baca","box",6.233333333,0,0,6.233333333,NA,"hz","low","m","low",2013-01-12,1,2.81369863013699,"r",NA,"low"
"20","baca","novel",2.6992,0,0,2.6992,NA,"hz","low","m","low",2013-01-12,1,2.81369863013699,"r",NA,"low"
"21","baca","lion",29,29,0.27959706959707,29,NA,"hz","low","m","low",2013-01-12,1,2.81369863013699,"r",NA,"low"
"22","baez","target",453,130,0,0,-0.946460853845084,"talek","high","f","low",2004-10-16,0,11.1561643835616,"r","low","low"
"23","baez","lion",30.9411764705882,30.9411764705882,0.392489095834095,30.9411764705882,-0.946460853845084,"talek","high","f","low",2004-10-16,0,11.1561643835616,"r","low","low"
"24","bilj","target",563,60,0,0,0.263157894736842,"north","low","f","high",2012-09-18,0,4.75890410958904,"r","mid","mid"
"25","bilj","box",0.2,0,0,0.2,0.263157894736842,"north","low","f","high",2012-09-18,0,4.75890410958904,"r","mid","mid"
"26","bilj","novel",0.802133333,0,0,0.802133333,0.263157894736842,"north","low","f","high",2012-09-18,0,4.75890410958904,"r","mid","mid"
"27","bilj","lion",47.5,47.5,0.317857142857143,47.5,0.263157894736842,"north","low","f","high",2012-09-18,0,4.75890410958904,"r","mid","mid"
"28","blue","target",85,29.3,0.150234741784038,32,0.462292609351433,"talek","high","f","high",2008-02-20,1,4.36164383561644,"r","high","high"
"29","blue","lion",16.6666666666667,16.6666666666667,0.576923076923077,16.6666666666667,0.462292609351433,"talek","high","f","high",2008-02-20,1,4.36164383561644,"r","high","high"
"30","bncl","box",NA,10,10,NA,NA,"talek","high","m",NA,2012-11-03,1,3.73150684931507,"r",NA,"high"
