"","id","clan","disturbance","sex","birthdate","date","am_pm","age","rank_level","dur_total","t_closest","closest_dist","dist_notice","bold2","AvgMinDist","AvgRankDist","box_lat","box_closest","box_tot","novel_lat","novel_closest","novel_tot","twin30m","proptwin30m","surv","longevity","exploration"
"1","alfe","talek","high","f",2009-01-05,2012-06-20,"pm","adult","mid",192,116,2,75,"bold",53.2,0.456324786324786,NA,NA,NA,NA,NA,NA,135,0.703125,0,6.90684931506849,1
"2","ams","north","low","m",NA,2013-06-27,"am","adult","immigrant",363,363,130,140,"neutral",44,0.398809523809524,NA,NA,NA,NA,NA,NA,0,0,1,NA,0
"3","angi","north","low","f",NA,2013-06-15,"pm","adult","mid",398,229,2,50,"bold",40.5714285714286,0.218307322929172,NA,NA,NA,NA,NA,NA,320,0.804020100502513,0,NA,1
"4","aqua","talek","high","f",2006-04-17,2013-07-17,"pm","adult","high",738,10,40,40,"fearful",51.4166666666667,0.390818182066584,NA,NA,NA,NA,NA,NA,0,0,0,9.56164383561644,0
"5","art","talek","high","f",2000-03-24,2012-08-02,"am","adult","mid",236,104,0.5,65,"bold",46.2173913043478,0.319859550853123,NA,NA,NA,NA,NA,NA,178,0.754237288135593,1,13.7890410958904,2
"6","atac","talek","high","f",2009-02-15,2013-11-02,"pm","adult","high",328,328,80,80,"neutral",21.5263157894737,0.224368519711096,NA,NA,NA,NA,NA,NA,0,0,0,6.86575342465753,0
"7","bab","talek","high","f",2004-10-30,2013-09-07,"pm","adult","low",436,123,6,100,"bold",156.5,0.84375,NA,NA,NA,NA,NA,NA,276,0.63302752293578,0,11.1205479452055,1
"8","baca","hz","low","m",2013-01-12,2014-02-11,"am","sub","low",1350,798,4,50,"bold",29,0.27959706959707,6.233333333,0,13.43109353,2.6992,0,25.70628475,565,0.418518518518519,1,2.81369863013699,1
"9","baez","talek","high","f",2004-10-16,2013-10-17,"pm","adult","low",453,453,130,130,"neutral",30.9411764705882,0.392489095834095,NA,NA,NA,NA,NA,NA,0,0,0,11.1561643835616,0
"10","bilj","north","low","f",2012-09-18,2013-08-09,"am","sub","high",563,563,60,60,"fearful",47.5,0.317857142857143,0.2,0,23.42763019,0.802133333,0,22.16904434,0,0,0,4.75890410958904,0
"11","blue","talek","high","f",2008-02-20,2012-06-30,"am","adult","high",213,85,29.3,120,"fearful",16.6666666666667,0.576923076923077,NA,NA,NA,NA,NA,NA,32,0.150234741784038,1,4.36164383561644,1
"12","bnt","talek","high","f",2011-09-25,2013-11-16,"am","sub","mid",346,146,15,80,"bold",127.5,0.257472826086957,NA,NA,NA,NA,NA,NA,197,0.569364161849711,0,4.15890410958904,0
"13","bora","talek","high","f",2010-12-23,2013-09-16,"am","sub","mid",447,447,60,80,"fearful",46.1111111111111,0.243247955747956,NA,NA,NA,NA,NA,NA,0,0,0,5.0027397260274,0
"14","brgr","talek","high","f",2011-10-30,2013-10-05,"am","sub","high",209,75,3,80,"bold",14,0.300641025641026,NA,NA,NA,NA,NA,NA,97,0.464114832535885,0,4.11780821917808,1
